"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"373","","","","0.1761319772151668","0.17613197721516677","0.17613197721516677"
"374","","","","0.1756035812835213","0.17560358128352127","0.17560358128352127"
"375","","","","0.1750767705396707","0.17507677053967072","0.17507677053967072"
"376","","","","0.17455154022805172","0.1745515402280517","0.1745515402280517"
"377","","","","0.17402788560736757","0.17402788560736754","0.17402788560736754"
"378","","","","0.1735058019505455","0.17350580195054544","0.17350580195054544"
"379","","","","0.17298528454469378","0.1729852845446938","0.1729852845446938"
"380","0.1206578947368421","0","0.34500000000000003","0.1724663286910597","0.1724663286910597","0.1724663286910597"
"381","","","","0.17194892970498651","0.17194892970498654","0.17194892970498654"
"382","","","","0.17143308291587162","0.1714330829158716","0.1714330829158716"
"383","","","","0.17091878366712399","0.17091878366712399","0.17091878366712399"
"384","","","","0.17040602731612256","0.17040602731612262","0.17040602731612262"
"385","","","","0.16989480923417427","0.16989480923417424","0.16989480923417424"
"386","","","","0.16938512480647175","0.16938512480647172","0.16938512480647172"
"387","","","","0.16887696943205227","0.1688769694320523","0.1688769694320523"
"388","","","","0.16837033852375607","0.16837033852375613","0.16837033852375613"
"389","","","","0.16786522750818483","0.16786522750818486","0.16786522750818486"
"390","0.11828947368421053","0","0.36750000000000005","0.1673616318256603","0.1673616318256603","0.1673616318256603"
"391","","","","0.1668595469301833","0.16685954693018332","0.16685954693018332"
"392","","","","0.16635896828939273","0.16635896828939276","0.16635896828939276"
"393","","","","0.1658598913845246","0.1658598913845246","0.1658598913845246"
"394","","","","0.16536231171037105","0.16536231171037102","0.16536231171037102"
"395","","","","0.1648662247752399","0.1648662247752399","0.1648662247752399"
"396","","","","0.16437162610091421","0.1643716261009142","0.1643716261009142"
"397","","","","0.16387851122261138","0.16387851122261143","0.16387851122261143"
"398","","","","0.1633868756889436","0.1633868756889436","0.1633868756889436"
"399","","","","0.16289671506187678","0.16289671506187678","0.16289671506187678"
"400","0.11750000000000002","0","0.3825","0.1624080249166911","0.16240802491669115","0.16240802491669115"
"401","","","","0.16192080084194108","0.16192080084194108","0.16192080084194108"
"402","","","","0.16143503843941523","0.16143503843941526","0.16143503843941526"
