"Name","batch_size","mean_regret","dynamic_rate","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__0__2025-06-18_15-25","50","100.01897023586436","1000","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_15-25","50","62.35572794620659","1000","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_15-25","50","241.32350906469617","1000","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_15-24","50","81.54653048862825","1000","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_15-24","50","157.99226235138218","1000","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_15-24","50","156.67080485093786","1000","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_15-23","50","89.55044005478584","1000","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_15-23","50","60.70240069406427","1000","5","ContextualBandit-v2","500",""
"conbandit_combi1_0__4__2025-06-18_15-23","50","224.19540926091256","1000","4","ContextualBandit-v2","500",""
"conbandit_combi1_0__3__2025-06-18_15-23","50","74.52122590332478","1000","3","ContextualBandit-v2","500",""
"conbandit_combi1_0__2__2025-06-18_15-22","50","151.32201492135988","1000","2","ContextualBandit-v2","500",""
"conbandit_combi1_0__1__2025-06-18_15-22","50","155.00913300521606","1000","1","ContextualBandit-v2","500",""
"conbandit_combi1_0__0__2025-06-18_15-22","50","66.58704421517594","1000","0","ContextualBandit-v2","500",""
"conbandit_combi1_0__5__2025-06-18_15-09","30","28.953067779541016","1000","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_15-09","30","44.257137298583984","1000","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_15-08","30","55.49972152709961","1000","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_15-08","30","30.4556941986084","1000","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_15-08","30","24.077714920043945","1000","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_15-08","30","34.899818420410156","1000","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_15-07","30","28.953067779541016","1000","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_15-07","30","44.257137298583984","1000","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_15-07","30","55.50750732421875","1000","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_15-07","30","30.4556941986084","1000","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_15-06","30","24.077714920043945","1000","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_15-06","30","34.886470794677734","1000","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_15-06","30","28.993141174316406","1000","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_15-06","30","44.328712463378906","1000","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_15-05","30","55.403656005859375","1000","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_15-05","30","30.4556941986084","1000","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_15-05","30","24.077714920043945","1000","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_15-05","30","34.691978454589844","1000","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_15-04","30","29.000551223754883","1000","5","NNBandit-v0","500",""
"conbandit_combi1_0__4__2025-06-18_15-04","30","43.743553161621094","1000","4","NNBandit-v0","500",""
"conbandit_combi1_0__3__2025-06-18_15-04","30","55.45621871948242","1000","3","NNBandit-v0","500",""
"conbandit_combi1_0__2__2025-06-18_15-04","30","30.4556941986084","1000","2","NNBandit-v0","500",""
"conbandit_combi1_0__1__2025-06-18_15-03","30","24.224729537963867","1000","1","NNBandit-v0","500",""
"conbandit_combi1_0__0__2025-06-18_15-03","30","34.158748626708984","1000","0","NNBandit-v0","500",""
"conbandit_combi1_0__5__2025-06-18_15-03","30","58.36538694433192","1000","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_15-03","30","242.6672726073295","1000","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_15-02","30","114.96372996273368","1000","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_15-02","30","143.9792960472728","1000","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_15-02","30","155.2223222167696","1000","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_15-01","30","103.83664127605586","1000","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_15-01","30","58.13260885511625","1000","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_15-01","30","242.11641163238005","1000","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_15-01","30","114.1440588005522","1000","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_15-00","30","143.90672982824273","1000","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_15-00","30","154.55876871355986","1000","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_15-00","30","101.6450091566749","1000","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_15-00","30","57.086119112888674","1000","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_14-59","30","237.6263088680011","1000","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_14-59","30","106.99883909684344","1000","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_14-59","30","144.06738687971125","1000","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_14-59","30","152.41131173501495","1000","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_14-58","30","86.78212405845703","1000","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_14-58","30","55.012763816822535","1000","5","ContextualBandit-v2","500",""
"conbandit_combi1_0__4__2025-06-18_14-58","30","219.7321386499485","1000","4","ContextualBandit-v2","500",""
"conbandit_combi1_0__3__2025-06-18_14-57","30","89.13305428286829","1000","3","ContextualBandit-v2","500",""
"conbandit_combi1_0__2__2025-06-18_14-57","30","143.6213630314755","1000","2","ContextualBandit-v2","500",""
"conbandit_combi1_0__1__2025-06-18_14-57","30","150.7221480126184","1000","1","ContextualBandit-v2","500",""
"conbandit_combi1_0__0__2025-06-18_14-57","30","64.16738273010503","1000","0","ContextualBandit-v2","500",""
"conbandit_combi1_0__5__2025-06-18_14-44","20","26.66407012939453","1000","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_14-43","20","43.807090759277344","1000","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_14-43","20","47.714691162109375","1000","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_14-42","20","27.86370277404785","1000","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_14-42","20","23.42710876464844","1000","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_14-42","20","35.617305755615234","1000","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_14-42","20","26.682737350463867","1000","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_14-41","20","43.76766204833984","1000","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_14-41","20","47.68341445922851","1000","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_14-41","20","27.86370277404785","1000","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_14-40","20","23.530445098876953","1000","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_14-40","20","35.59322738647461","1000","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_14-40","20","26.656932830810547","1000","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_14-40","20","43.68141555786133","1000","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_14-39","20","47.67607879638672","1000","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_14-39","20","27.68007469177246","1000","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_14-39","20","23.477689743041992","1000","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_14-39","20","35.543975830078125","1000","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_14-38","20","26.863611221313477","1000","5","NNBandit-v0","500",""
"conbandit_combi1_0__4__2025-06-18_14-38","20","43.27861785888672","1000","4","NNBandit-v0","500",""
"conbandit_combi1_0__3__2025-06-18_14-38","20","47.91804504394531","1000","3","NNBandit-v0","500",""
"conbandit_combi1_0__2__2025-06-18_14-38","20","27.47279357910156","1000","2","NNBandit-v0","500",""
"conbandit_combi1_0__1__2025-06-18_14-37","20","23.922855377197266","1000","1","NNBandit-v0","500",""
"conbandit_combi1_0__0__2025-06-18_14-37","20","34.695125579833984","1000","0","NNBandit-v0","500",""
"conbandit_combi1_0__5__2025-06-18_14-37","20","61.97497195129869","1000","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_14-36","20","240.8885956655877","1000","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_14-36","20","114.3567501980923","1000","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_14-36","20","149.92775787697278","1000","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_14-36","20","161.39923312978743","1000","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_14-35","20","111.5858556082756","1000","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_14-35","20","61.97792470995781","1000","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_14-35","20","241.7991367328358","1000","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_14-35","20","112.9804348276066","1000","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_14-34","20","150.4334881188309","1000","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_14-34","20","160.85990555887665","1000","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_14-34","20","107.78602950174218","1000","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_14-34","20","61.50393976587404","1000","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_14-33","20","212.57152939953008","1000","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_14-33","20","102.98905642534052","1000","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_14-33","20","151.3918737904852","1000","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_14-33","20","159.3121071787517","1000","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_14-32","20","98.66375824002496","1000","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_14-32","20","57.85385741276442","1000","5","ContextualBandit-v2","500",""
"conbandit_combi1_0__4__2025-06-18_14-32","20","215.5754328631954","1000","4","ContextualBandit-v2","500",""
"conbandit_combi1_0__3__2025-06-18_14-32","20","89.68847242780039","1000","3","ContextualBandit-v2","500",""
"conbandit_combi1_0__2__2025-06-18_14-31","20","147.18663773821658","1000","2","ContextualBandit-v2","500",""
"conbandit_combi1_0__1__2025-06-18_14-31","20","155.08653314571137","1000","1","ContextualBandit-v2","500",""
"conbandit_combi1_0__0__2025-06-18_14-31","20","75.04052608433109","1000","0","ContextualBandit-v2","500",""
"conbandit_combi1_0__5__2025-06-18_14-19","10","24.115766525268555","1000","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_14-19","10","39.3824462890625","1000","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_14-19","10","53.084938049316406","1000","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_14-18","10","24.97765731811523","1000","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_14-18","10","19.6796875","1000","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_14-18","10","38.934844970703125","1000","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_14-18","10","24.089637756347656","1000","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_14-17","10","39.3824462890625","1000","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_14-17","10","53.045021057128906","1000","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_14-17","10","24.97765731811523","1000","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_14-17","10","19.6796875","1000","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_14-16","10","38.95677185058594","1000","0","NNBandit-v0","1500",""
