"Name","hidden_layer_size","mean_regret","env_id","noisy_net","seed","_wandb"
"conbandit_combi1_0__0__2025-06-19_17-30","20","352.907","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-30","10","344.055","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-30","10","155.447","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-30","10","460.231","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-30","10","301.05","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-29","10","171.427","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-29","10","541.265","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-29","10","400.889","MNISTBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-28","10","308.607","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-28","100","67.34197914606784","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-28","100","82.98827420117877","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-28","100","72.9302044807739","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-28","100","63.359207019174136","ContextualBandit-v2","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-27","100","100.67532202064216","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-27","100","78.366092338898","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-27","100","88.31808005946405","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-27","100","37.68776566203005","ContextualBandit-v2","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-26","90","83.62124071225983","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-26","90","73.69971220922665","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-26","90","59.62613192426358","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-26","90","56.13103676202371","ContextualBandit-v2","false","0",""
